sequence,hf_prediction,hf_predicted_score
love at,1,0.9953526854515076
"So close to 3 billion views, It' amazing how all the hate towards him turned into fame.",0,0.7613500952720642
Who listening 👂 this song 🎧 in 2023,1,0.8329603672027588
Baby❤❤,1,0.9974043965339661
2023 😍,1,0.9728518724441528
Anyone from August 2023?,0,0.6895719766616821
Anyone in 2023??,0,0.730279266834259
The girl preettttttyyyyyyyyy😭😭😭😭 1:23,0,0.9958400130271912
So funny when heard this thought it was lil girl singing,1,0.8668327331542969
truly an iconic song,1,0.987634003162384
Masterpiece 💜,1,0.9971984028816223
don' even like this guy anymore BUT this will always bring back memories from when was ten.,0,0.9801729321479797
How is this the most disliked video? This is masterpiece ❤❤,1,0.9155839085578918
Wow🎉❤,1,0.9984630346298218
Cheap batterys near me,1,0.9422770142555237
2023 and still hits 🔥,0,0.9957170486450195
Love from India,1,0.9941888451576233
Hey Spanish speakers. Stop commenting. Build the wall,0,0.9694305062294006
Oh my mom party girl she said do you love me,1,0.9524152278900146
LATEST COMMENT,0,0.6436021327972412
When thought Justin beiber is girl,1,0.6859391927719116
After 13 years this is my fav song,1,0.992273211479187
Bro was so young and still got ludicrous on his song,0,0.9150105714797974
"will lovly somg,,,",1,0.9959266185760498
will watch this song again in 2030 see you guy later.,1,0.7422765493392944
Help ' die 😂😂😂😂😂😂😂😂😂😂😂,0,0.923954963684082
Delete this,0,0.9502231478691101
Now 2047 but song is super ❤❤❤❤ 1:09,1,0.9959875345230103
Don'worry if you are just little bit your time just bit more if we want,1,0.9688329696655273
2023 👇,1,0.8246937990188599
Bruh being the same age as Justin Bieber and hearing this song back then… was horrendous but now lokey it’ actually nostalgic now😅,1,0.5985924005508423
am listening this song again after 5 years,1,0.694553554058075
We just friend💔,0,0.9573138356208801
13 years ago this good quality just hits ❤❤❤,1,0.9979081153869629
13 years later and still am listening to this masterpiece and it never gets old ♥️♥️♥️,1,0.9970513582229614
😻😻,0,0.9558913707733154
Love you king,1,0.9941012263298035
😻😻😻,0,0.9685574769973755
Amazing,1,0.995636522769928
Amazing song,1,0.9941845536231995
This is hood classic,1,0.9614090323448181
who’ here in 2023???,0,0.7918251156806946
4.1 million to go!!!!,1,0.5075605511665344
love❤❤😊😊😊🙏🙏😥😥,1,0.9973878860473633
❤❤❤,1,0.9965951442718506
Man This Song Is Old Justin Is Grown Now,0,0.6035850048065186
You will probably never read this but you have inspired so many people to follow there heart and have got me and so many others through hard times. hope you know that. And ’ so excited for this! know it will be an amazing hit just like all your other songs. ❤,1,0.9866236448287964
love you so much Justin Bieber 💋❤️,1,0.9975727200508118
"Baby,baby,baby ohh that' my favorite part",1,0.9896388649940491
Poti,1,0.672448992729187
Nah drake is in there no wayy,0,0.7458890080451965
"God, remember when THIS was the worst thing?",0,0.9920296669006348
"The more get older, the less hate this song",1,0.7487755417823792
Me,1,0.7618630528450012
used to think it was girl singing this song,1,0.5518507957458496
What are you saying!!!,0,0.8681479692459106
Unbelievable that such an AMAZING song competes with YouTube Rewind 2018 in dislikes.,0,0.9618435502052307
Who else is here in 2023 because we get no females,0,0.8589818477630615
’ here from rodrick singing this,1,0.7182325720787048
just love it never not love it,1,0.9967283010482788
The best of Justin Bieber 🤌🏻,1,0.9965929388999939
Is anyone else literally listening to this in 2023,0,0.7404353022575378
Mie too Mie too,1,0.9939998984336853
Justin biber your super Baby,1,0.9741881489753723
Your super baby,1,0.9804158210754395
2023 anyone,1,0.5669341683387756
Original rizz lord,1,0.8421207666397095
Pov: you are here in August 2023,1,0.6535783410072327
Someone from 2025?,0,0.7823799848556519
My favorite bro!!!!!!!!!,1,0.9957277178764343
It' sad that we can' see how may dislikes this video has by now,0,0.9929940104484558
"Always JB, always",1,0.9878848195075989
Channel name Kanxojignesh07,1,0.7057252526283264
2023,1,0.5126678943634033
Nothin can compare to this banger 🤷🏾‍♀️,1,0.9825194478034973
This song never get old 😍,1,0.9934729337692261
Justin was just kid with dreamy eyes but toxic people on the internet made him how he' today... like the old innocent Justin 💔,0,0.8478677272796631
"❤❤❤ . . 👇 *You are amazing stay blessed, stay safe and have amazing rest of your day,and hope everyone finds inner peace* ❤",1,0.9982271194458008
wizz,1,0.9530466198921204
was born in the same year as this song came out lamo,0,0.617684543132782
Elegant vice 🗜️,0,0.8142365217208862
August 2023?,0,0.6542295813560486
like this the video' funny👍👍👍👍,1,0.9982130527496338
amooo,1,0.9779163599014282
Ola,1,0.7769963145256042
' back from 2023 to 2010 for best vibes.,1,0.9909849762916565
👍👍👍👍👍👍👍👍👍👍👍👍👍👋👋,1,0.9916490912437439
How many likes will this comment get?,1,0.5856746435165405
