sequence,label
love,1
close three billion views amazing hate towards turned fame,1
listening ear song headphone two thousand twenty-three,1
babyredheartredheart,1
two thousand twenty-three smilingfacewithhearteyes,1
anyone august two thousand twenty-three,0
anyone two thousand twenty-three,0
girl preettttttyyyyyyyyyloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface one hundred twenty-three,0
funny heard thought lil girl singing,1
truly iconic song,1
masterpiece purpleheart,1
even like guy anymore always bring back memories ten,1
disliked video masterpiece redheartredheart,1
wowpartypopperredheart,1
cheap batterys near,1
two thousand twenty-three still hits fire,0
love india,1
hey spanish speakers stop commenting build wall,0
oh mom party girl said love,1
latest comment,1
thought justin beiber girl,1
thirteen years fav song,1
bro young still got ludicrous song,0
lovly somg,1
watch song two thousand thirty see guy later,1
help die facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,1
delete,0
two thousand forty-seven song super redheartredheartredheartredheart one hundred nine,1
donworry little bit time bit want,1
two thousand twenty-three backhandindexpointingdown,1
bruh age justin bieber hearing song back horrendous lokey actually nostalgic nowgrinningfacewithsweat,1
listening song five years,1
friendbrokenheart,1
thirteen years ago good quality hits redheartredheartredheart,1
thirteen years later still listening masterpiece never gets old heartsuitheartsuitheartsuit,1
smilingcatwithhearteyessmilingcatwithhearteyes,0
love king,1
smilingcatwithhearteyessmilingcatwithhearteyessmilingcatwithhearteyes,0
amazing,1
amazing song,1
hood classic,1
two thousand twenty-three,0
forty-one million go,1
loveredheartredheartsmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyesfoldedhandsfoldedhandssadbutrelievedfacesadbutrelievedface,1
redheartredheartredheart,1
man song old justin grown,1
probably never read inspired many people follow heart got many others hard times hope know excited know amazing hit like songs redheart,1
love much justin bieber kissmarkredheart,1
babybabybaby ohh favorite part,1
poti,1
nah drake wayy,0
god remember worst thing,0
get older less hate song,1
used think girl singing song,1
saying,0
unbelievable amazing song competes youtube rewind two thousand eighteen dislikes,1
else two thousand twenty-three get females,0
rodrick singing,1
love never love,1
best justin bieber pinchedfingerslightskintone,1
anyone else literally listening two thousand twenty-three,0
mie mie,1
justin biber super baby,1
super baby,1
two thousand twenty-three anyone,1
original rizz lord,1
pov august two thousand twenty-three,1
someone two thousand twenty-five,0
favorite bro,1
sad see may dislikes video,0
always jb always,1
channel name kanxojignesh07,1
two thousand twenty-three,1
nothin compare banger womanshruggingmediumdarkskintone,1
song never get old smilingfacewithhearteyes,1
justin kid dreamy eyes toxic people internet made today like old innocent justin brokenheart,0
