sequence,label
love at,1
"So close to 3 billion views, It' amazing how all the hate towards him turned into fame.",1
Who listening 👂 this song 🎧 in 2023,1
Baby❤❤,1
2023 😍,1
Anyone from August 2023?,0
Anyone in 2023??,0
The girl preettttttyyyyyyyyy😭😭😭😭 1:23,0
So funny when heard this thought it was lil girl singing,1
truly an iconic song,1
Masterpiece 💜,1
don' even like this guy anymore BUT this will always bring back memories from when was ten.,1
How is this the most disliked video? This is masterpiece ❤❤,1
Wow🎉❤,1
Cheap batterys near me,1
2023 and still hits 🔥,0
Love from India,1
Hey Spanish speakers. Stop commenting. Build the wall,0
Oh my mom party girl she said do you love me,1
LATEST COMMENT,1
When thought Justin beiber is girl,1
After 13 years this is my fav song,1
Bro was so young and still got ludicrous on his song,0
"will lovly somg,,,",1
will watch this song again in 2030 see you guy later.,1
Help ' die 😂😂😂😂😂😂😂😂😂😂😂,1
Delete this,0
Now 2047 but song is super ❤❤❤❤ 1:09,1
Don'worry if you are just little bit your time just bit more if we want,1
2023 👇,1
Bruh being the same age as Justin Bieber and hearing this song back then… was horrendous but now lokey it’ actually nostalgic now😅,1
am listening this song again after 5 years,1
We just friend💔,1
13 years ago this good quality just hits ❤❤❤,1
13 years later and still am listening to this masterpiece and it never gets old ♥️♥️♥️,1
😻😻,0
Love you king,1
😻😻😻,0
Amazing,1
Amazing song,1
This is hood classic,1
who’ here in 2023???,0
4.1 million to go!!!!,1
love❤❤😊😊😊🙏🙏😥😥,1
❤❤❤,1
Man This Song Is Old Justin Is Grown Now,1
You will probably never read this but you have inspired so many people to follow there heart and have got me and so many others through hard times. hope you know that. And ’ so excited for this! know it will be an amazing hit just like all your other songs. ❤,1
love you so much Justin Bieber 💋❤️,1
"Baby,baby,baby ohh that' my favorite part",1
Poti,1
Nah drake is in there no wayy,0
"God, remember when THIS was the worst thing?",0
"The more get older, the less hate this song",1
Me,1
used to think it was girl singing this song,1
What are you saying!!!,0
Unbelievable that such an AMAZING song competes with YouTube Rewind 2018 in dislikes.,1
Who else is here in 2023 because we get no females,0
’ here from rodrick singing this,1
just love it never not love it,1
The best of Justin Bieber 🤌🏻,1
Is anyone else literally listening to this in 2023,0
Mie too Mie too,1
Justin biber your super Baby,1
Your super baby,1
2023 anyone,1
Original rizz lord,1
Pov: you are here in August 2023,1
Someone from 2025?,0
