sequence,hf_prediction,hf_predicted_score
Justin Bieber Love you,1,0.9974021315574646
Justin Bieber Love me,1,0.9953815340995789
0:17 0:47,0,0.647167980670929
0:18 0:48,0,0.6246969103813171
"0:15 , 0:45",0,0.5618881583213806
Who is here in 2022,1,0.6248378157615662
So nice song and vedio justin,1,0.9967854619026184
"baby,baby,hooooooooooooo",1,0.9910972118377686
Someone!,0,0.5159651637077332
love this song so much 💖,1,0.9971722960472107
That move @ 3:08 Justin did was sick!,0,0.993716835975647
"people nowadays won’ get that this teenager had sm potential in him which made him famous, to whoever hates him.",0,0.6775591969490051
this song is 1 year older than me,1,0.5568575859069824
"People may hate this song , certainly don', love this regardless of people' opinion on this track it' legendary and Justin is incredibly talented for releasing it when he did ♥️💙",1,0.9646613597869873
"just not know why people hate this masterpiece, mean its just....awesome.",1,0.9763739109039307
love this song😘,1,0.9971973896026611
Thi fornite. Thi skin icône sirise,1,0.9885092377662659
this song still fire lel,1,0.9932618141174316
Can’ you see she is uncomfortable! Gosh just leave her alone!😤,0,0.9839455485343933
just realised Drake was in this song after 12 years🤧😂,0,0.7844987511634827
Hii love from india 🇮🇳❤️😀,1,0.9980816841125488
Girl or boy Boy looking But Girl voice I Am confused,0,0.9380999207496643
Oww my favourite song,0,0.6538804769515991
𝑁𝑜𝑡 𝐶𝑟𝑖𝑛𝑔𝑒 𝐵𝑢𝑡𝑡𝑜𝑛 ⤵,1,0.5288132429122925
bro looks 12💀💀💀💀💀,1,0.9965587854385376
"Ah yes, hate symbol of 2010s",0,0.9925843477249146
hearing this song after 10 years still got same vibes,1,0.9809362292289734
That music got 2 billion and it' so hot and popular,1,0.9706992506980896
This song has been in my head for the past month absolutely love it overall the people that say it' bad have there own opinions but ' not surprised people are still jamming to this song,1,0.936365008354187
Favourite song all time,1,0.9891365170478821
So good am 12 so good and have love to love you Justin Bieber,1,0.9971354007720947
It' been 12 years of this song and it still can' get out of my head,1,0.6819674372673035
The video must be really heart touching for humanity. It has zero dislikes,1,0.9689672589302063
Hhhh 🤣 2022 💃💃🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿,0,0.9683529138565063
2022 still best song by justin🖤,0,0.6317628622055054
#1000000000,1,0.6287950277328491
love it!,1,0.9980614185333252
love this song sooooooooooo much i am about to never stop staring over will not let the song reach to thw end,1,0.9953415393829346
miss the time when used to listen to this masterpiece 💕,1,0.5891626477241516
This still 🎉song is amazing,1,0.9956223368644714
This song never will get old no matter what,1,0.9858658909797668
This song got the most dislikes in YouTube,0,0.9970442056655884
NANI so all have to do to be youtuber is make cringe music videos HOW the first time heard this song did not see the video and actually thought it was girl singing LOL,0,0.9798444509506226
can’ believe this used to be your voice,0,0.9663299322128296
This is such evergreen song.,1,0.9775350689888
"This song reached at such height man, undoubtedly Justin' biggest breakthrough. Me as kid was obsessed to this song. Not only me, everyone in the world was addictive to this song at one stage. It was everywhere. We also used to sing it during our school trip. Songs indeed bring back memories🙀",1,0.9712684154510498
Haha Drake hanging out with some kids!,1,0.9576305150985718
Just biber didn' stop following the girl 😝,1,0.8538381457328796
If we are In the future we will all say it’ the best song because it’ og but today we still hate it in 12 years,0,0.9736359715461731
It were my ringtone When were 17,1,0.7598186135292053
His name was TT copy debug info to you as,1,0.5581468939781189
saw drake 😱,0,0.9810431599617004
My 1 🤍 song,0,0.975335955619812
Gay gay gay gay gay,1,0.9676284193992615
This man is born is born to make history when he was 16 he was legend snd now he is legend × 100,1,0.9777208566665649
In 2022 and still watching this great song,1,0.9929332733154297
don' know why people hate this song,0,0.9583102464675903
This Song Is Superannoying,0,0.9937639236450195
Still my favourite song,1,0.9925224781036377
Justin Your are Grown up Now 🤠.,0,0.9829570651054382
"Energetic, refresh ,",1,0.9955975413322449
It is so good like Justin Bieber know how to sing Justin Bieber,1,0.9945592284202576
